ligand,affinity,ligand,
1668,-7.3,individual_ligand_1668,"Betuletol, Eupalitin, 6,7-Dimethoxy-3,5,4'-trihydroxyflavone"
1677,-7.3,individual_ligand_1677,Bisdemalonylmonardaein
1697,-7.3,individual_ligand_1697,Brosimacutin H
1703,-7.3,individual_ligand_1703,Broussinol
170,-7.3,individual_ligand_170,2'-O-Methylphaseollinisoflavan
1722,-7.3,individual_ligand_1722,Cabreuvin
1731,-7.3,individual_ligand_1731,"Calocarpin, 3,9-Dihydroxy-2-prenylpterocarpan"
1745,-7.3,individual_ligand_1745,Calopogoniumisoflavone B
1748,-7.3,individual_ligand_1748,"Calycosin 7-O-glucoside, Calycosin-7-O-beta-D-glucopyranoside"
1768,-7.3,individual_ligand_1768,"Caohuoside D, 8- (3""-Hydroxy-3""-methylbutyl) kaempferol 4'-methyl ether 7-glucoside"
1778,-7.3,individual_ligand_1778,Cassiaflavan
1802,-7.3,individual_ligand_1802,"Cauliflorin A, Pongol methyl ether"
1804,-7.3,individual_ligand_1804,Caviunin 7-O-glucoside
1823,-7.3,individual_ligand_1823,Chalconaringenin 2'-xyloside
1830,-7.3,individual_ligand_1830,Chandalone
1840,-7.3,individual_ligand_1840,Chrysin 7-gentiobioside
1844,-7.3,individual_ligand_1844,"CHRYSIN, NSC-407436"
1856,-7.3,individual_ligand_1856,Chrysosplenin
1881,-7.3,individual_ligand_1881,Cladrin 7-O-glucoside
1013,-7.2,individual_ligand_1013,"6-Hydroxyluteolin 5,6,3',4'-tetramethyl ether"
1018,-7.2,individual_ligand_1018,"6-Hydroxyluteolin 6,3'-dimethyl ether 7-glucoside"
1019,-7.2,individual_ligand_1019,"6-Hydroxyluteolin 6,3'-dimethyl ether 7-sulfate"
1059,-7.2,individual_ligand_1059,"6,2'-Dihydroxy-3,5,7,4',5'-pentamethoxyflavone"
1067,-7.2,individual_ligand_1067,"6,4'-Dihydroxyaurone-4-O-neohesperidoside"
1108,-7.2,individual_ligand_1108,"6"",6""-Dimethylpyrano [ 2"",3"":7,8 ] kaempferol 4'-methyl ether 3-rhamnoside"
1119,-7.2,individual_ligand_1119,"7-Hydroxy-2',4',5'-trimethoxyisoflavone"
1139,-7.2,individual_ligand_1139,"7-Hydroxy-5,8,2'-trimethoxyflavone"
1173,-7.2,individual_ligand_1173,"7,2'-Dihydroxy-5-methoxyflavone"
1183,-7.2,individual_ligand_1183,"7,2',4',5'-Tetramethoxyflavone"
1185,-7.2,individual_ligand_1185,"7,2',6'-Trihydroxy-5-methoxyflavanone"
1208,-7.2,individual_ligand_1208,"7,4'-Dihydroxy-5,2'-dimethoxyisoflavanone"
1234,-7.2,individual_ligand_1234,8-C-Glucopyranosylgenistein 4'-O-glucoside
1358,-7.2,individual_ligand_1358,Adunctin D
1360,-7.2,individual_ligand_1360,Aequinetin
1372,-7.2,individual_ligand_1372,"Ageconyflavone A, 3',4'-Methylenedioxy-5,6,7-trimethoxyflavone"
1407,-7.2,individual_ligand_1407,Alnustinol
1413,-7.2,individual_ligand_1413,Alpinumisoflavone
1414,-7.2,individual_ligand_1414,Alternanthin
1464,-7.2,individual_ligand_1464,Anthyllin
1485,-7.2,individual_ligand_1485,Apigenin 6-C-glucosyl-7-O- (6-malyl-glucoside)
1487,-7.2,individual_ligand_1487,"Apigenin 7- (2""-acetylglucoside)"
1489,-7.2,individual_ligand_1489,"Apigenin 7- (2""-glucuronosyllactate)"
1533,-7.2,individual_ligand_1533,Apigenin 7-rhamnoside-4'-rutinoside
1551,-7.2,individual_ligand_1551,Apiocarpin
1561,-7.2,individual_ligand_1561,Aromadendrin 3-galactoside
1584,-7.2,individual_ligand_1584,"Artemetin, 3,6,7,3',4'-Pentamethylquercetagetin, Quercetagetin 3,6,7,3',4'-pentamethyl ether"
1608,-7.2,individual_ligand_1608,Artonin P
1639,-7.2,individual_ligand_1639,Bakuchalcone
1669,-7.2,individual_ligand_1669,"Betuletrin, Eupalitin 3-galactoside"
1678,-7.2,individual_ligand_1678,Boeravinone A
1682,-7.2,individual_ligand_1682,Boesenbergin B
1685,-7.2,individual_ligand_1685,Bonanniol B
1691,-7.2,individual_ligand_1691,Brosimacutin A
1696,-7.2,individual_ligand_1696,Brosimacutin G
1698,-7.2,individual_ligand_1698,Brosimacutin I
169,-7.2,individual_ligand_169,2'-O-Methylphaseollidinisoflavan
16,-7.2,individual_ligand_16,(-) -Sativan
1741,-7.2,individual_ligand_1741,Calomelanol J
1752,-7.2,individual_ligand_1752,Calyxin C
176,-7.2,individual_ligand_176,"2',4'-Dihydroxy-2""- (1-hydroxy-1-methylethyl) dihydrofuro [ 2,3-h ] flavanone"
1794,-7.2,individual_ligand_1794,"Catechin 5,3'-di-O-beta-D-glucopyranoside"
179,-7.2,individual_ligand_179,"2',4'-Dihydroxy-3,4,6'-trimethoxydihydrochalcone"
17,-7.2,individual_ligand_17,"(-) -Sophorol, (3R) -Sophorol"
1803,-7.2,individual_ligand_1803,Caviunin
180,-7.2,individual_ligand_180,"2',4'-Dihydroxy-3'- (1,1-dimethyl-2-propenyl) chalcone"
1849,-7.2,individual_ligand_1849,"Chrysoeriol 7- (2""'-feruloylglucuronosyl) - (1->2) -glucuronide"
1875,-7.2,individual_ligand_1875,Citrunobin
187,-7.2,individual_ligand_187,"2',4'-Dihydroxy-5,6-methylenedioxy-2-phenylbenzofuran"
1889,-7.2,individual_ligand_1889,"Combretol, 5-Hydroxy-3,3',4',5',7-pentamethoxyflavone"
1004,-7.1,individual_ligand_1004,"6-Hydroxykaempferol 3,5,7-trimethyl ether"
1063,-7.1,individual_ligand_1063,"6,3'-Dimethoxyflavone"
1065,-7.1,individual_ligand_1065,"6,4'-Dihydroxy-7-methylaurone 6-rhamnoside"
106,-7.1,individual_ligand_106,2-O-Methylangolensin
1083,-7.1,individual_ligand_1083,"6,8-Di-C-glucopyranosylgenkwanin"
109,-7.1,individual_ligand_109,"2,2,4-Trimethyl-6- (1-oxo-3-phenylpropyl) -1,3,5-cyclohexanetrione"
1133,-7.1,individual_ligand_1133,"7-Hydroxy-5,4'-dimethoxyflavone 8-C-rhamnoside"
1137,-7.1,individual_ligand_1137,"7-Hydroxy-5,8-dimethoxyflavone 7-glucuronide"
1138,-7.1,individual_ligand_1138,"7-Hydroxy-5,8,2'-trimethoxyflavanone"
1175,-7.1,individual_ligand_1175,"7,2'-Dihydroxy-6-methoxyisoflavone"
1199,-7.1,individual_ligand_1199,"7,4'-Di-O-Methylisomollupentin"
1224,-7.1,individual_ligand_1224,"7,8,3',4'-Tetramethoxy-6"",6""-dimethylpyrano [ 2"",3"":5,6 ] flavone"
1241,-7.1,individual_ligand_1241,8-C-Methylkaempferol
1258,-7.1,individual_ligand_1258,"8-Hydroxy-3,4,9,10-tetramethoxypterocarpan"
1359,-7.1,individual_ligand_1359,Adunctin E
1381,-7.1,individual_ligand_1381,Agecorynin G
1385,-7.1,individual_ligand_1385,Agehoustin D
1406,-7.1,individual_ligand_1406,Alnustin
142,-7.1,individual_ligand_142,"2'-Hydroxy-3,7,8,4',5'-pentamethoxyflavone"
1446,-7.1,individual_ligand_1446,Angolensin
1450,-7.1,individual_ligand_1450,Angusticornin A
1528,-7.1,individual_ligand_1528,Apigenin 7-neohesperidoside-4'-glucoside
156,-7.1,individual_ligand_156,2'-Hydroxydaidzein
1593,-7.1,individual_ligand_1593,Artocommunol CD
1618,-7.1,individual_ligand_1618,Astraciceran
161,-7.1,individual_ligand_161,2'-Hydroxyisolupalbigenin
167,-7.1,individual_ligand_167,2'-Methoxylupalbigenin
1701,-7.1,individual_ligand_1701,Brosimone I
1702,-7.1,individual_ligand_1702,Broussin
1714,-7.1,individual_ligand_1714,Bryacarpene 4
173,-7.1,individual_ligand_173,"2',3',4',6'-Tetramethoxychalcone"
1807,-7.1,individual_ligand_1807,"Centaureidin, Desmethoxycentaureidine, Quercetagetin 3,4',6-trimethyl ether, 5,7,3'-Trihydroxy-3,6,4'-trimethoxyflavone"
1808,-7.1,individual_ligand_1808,Centaurein
1814,-7.1,individual_ligand_1814,Cerasinone
1816,-7.1,individual_ligand_1816,Ceroptene
181,-7.1,individual_ligand_181,"2',4'-Dihydroxy-3'-isovaleryloxy-6'-methoxychalcone"
1836,-7.1,individual_ligand_1836,Chrysin 6-C-alpha-L-arabinopyranoside-8-C-glucoside
1847,-7.1,individual_ligand_1847,Chrysoeriol 6-C-arabinopyranoside-8-C-glucoside
188,-7.1,individual_ligand_188,"2',4'-Dihydroxy-5,7-dimethoxyisoflavone"
1890,-7.1,individual_ligand_1890,Comptonin
1014,-7,individual_ligand_1014,"6-Hydroxyluteolin 5,6,7,4'-tetramethyl ether"
1024,-7,individual_ligand_1024,"6-Hydroxyluteolin 6,7,3'-trimethyl ether 4'-glucoside"
1030,-7,individual_ligand_1030,"6-Hydroxytricetin 6,4',5'-trimethyl eter 3'-rhamnoside"
1046,-7,individual_ligand_1046,"6-Methoxykaempferol 3,7-dirhamnoside"
1103,-7,individual_ligand_1103,"6""-O-Acetyldaidzin, Daidzein 6""-O-acetate"
1125,-7,individual_ligand_1125,"7-Hydroxy-3,5,8-trimethoxyflavone"
1129,-7,individual_ligand_1129,7-Hydroxy-5-methoxy-6-methylflavan
1161,-7,individual_ligand_1161,7-O-Methyltectorigenin 4'-O-galactoside
1172,-7,individual_ligand_1172,"7,2'-Dihydroxy-4',5'-methylenedioxy-3-phenylcoumarin"
1202,-7,individual_ligand_1202,"7,4'-Dihydroxy-3,6-dimethoxyflavone"
1269,-7,individual_ligand_1269,8-Hydroxyapigenin 8-sophoroside
1289,-7,individual_ligand_1289,8-O-Methylretusin
1313,-7,individual_ligand_1313,9-O-Methylphilenopteran
1323,-7,individual_ligand_1323,Abyssinone I
1373,-7,individual_ligand_1373,"Ageconyflavone B, 5,6,7,3'-Tetramethoxy-4'-hydroxyflavone"
1374,-7,individual_ligand_1374,"Ageconyflavone C, 4'-Hydroxy-5,6,7,3',5'-pentamethoxyflavone"
1377,-7,individual_ligand_1377,Agecorynin C
1438,-7,individual_ligand_1438,"Amorphol, Amorphigenol O-vicianoside"
1476,-7,individual_ligand_1476,"Apigenin 4'- (2""-feruloylglucuronosyl) - (1->2) -glucuronide"
1479,-7,individual_ligand_1479,"Apigenin 5- (6""-malonylglucoside)"
1501,-7,individual_ligand_1501,"Apigenin 7- (6""-acetylglucoside)"
1525,-7,individual_ligand_1525,"Apigenin 7-methyl ether 5- (6""-malonylglucoside)"
153,-7,individual_ligand_153,"2'-Hydroxy-7-methoxy-4',5'-methylenedioxyflavan"
1580,-7,individual_ligand_1580,Artelastocarpin
171,-7,individual_ligand_171,2'-O-Methylsepiol
1742,-7,individual_ligand_1742,Calomelanone
1777,-7,individual_ligand_1777,Carpusin
1791,-7,individual_ligand_1791,Catechin 4'-methyl ether
1809,-7,individual_ligand_1809,"Cephalocerone, 4,5-Methylenedioxy-6-hydroxyaurone"
1028,-6.9,individual_ligand_1028,6-Hydroxyrotenone
1035,-6.9,individual_ligand_1035,6-Methoxyflavone
1064,-6.9,individual_ligand_1064,"6,3',4'-Trimethoxyflavanone"
1076,-6.9,individual_ligand_1076,"6,7,3'-Trimethoxy-4',5'-methylenedioxyisoflavone"
1085,-6.9,individual_ligand_1085,"6,8-Di-C-glucopyranosyltricin"
1128,-6.9,individual_ligand_1128,"7-Hydroxy-3',4'-methylenedioxyflavan 7-O-beta-D-glucopyranoside"
1152,-6.9,individual_ligand_1152,7-Methoxyflavone
1180,-6.9,individual_ligand_1180,"7,2'-Dimethoxy-4',5'-methylenedioxyflavanone"
1197,-6.9,individual_ligand_1197,"7,3',4'-Trimethoxyflavone"
1200,-6.9,individual_ligand_1200,"7,4'-Di-O-methyltectorigenin"
1205,-6.9,individual_ligand_1205,"7,4'-Dihydroxy-3'-methoxyflavone 7-glucoside"
1214,-6.9,individual_ligand_1214,"7,4'-Dihydroxyflavone 7-glucoside"
1238,-6.9,individual_ligand_1238,"8-C-Glucosyldiosmetin 4""-O-rhamnopyranoside"
1240,-6.9,individual_ligand_1240,8-C-Methylgalangin
1367,-6.9,individual_ligand_1367,Afzelechin 4'-O-beta-D-glucopyranoside
1368,-6.9,individual_ligand_1368,"Afzelechin 5,4'-dimethyl ether"
1395,-6.9,individual_ligand_1395,Alatanin 2
1399,-6.9,individual_ligand_1399,Alhagidin
143,-6.9,individual_ligand_143,"2'-Hydroxy-3',4',6'-trimethoxychalcone"
1462,-6.9,individual_ligand_1462,Anhydrotuberosin
1475,-6.9,individual_ligand_1475,Apigenin
1484,-6.9,individual_ligand_1484,"Apigenin 5,7,4'-trimethyl ether"
1527,-6.9,individual_ligand_1527,Apigenin 7-neohesperidoside
1588,-6.9,individual_ligand_1588,Artocarpetin
1615,-6.9,individual_ligand_1615,Asebogenin
1651,-6.9,individual_ligand_1651,Bavachalcone
1680,-6.9,individual_ligand_1680,Boeravinone C
1717,-6.9,individual_ligand_1717,"Buddlenoid B, Isorhamnetin 7- (6""-p-coumarylglucoside)"
1724,-6.9,individual_ligand_1724,Cajaflavanone
1744,-6.9,individual_ligand_1744,Calopogoniumisoflavone A
1746,-6.9,individual_ligand_1746,"Calotropiside, Isorhamnetin 3- (2G-galactosylrutinoside), Isorhamnetin 3-galactosyl- (1->2) - [ rhamnosyl- (1->6) -glucoside ], Quercetin 3'-methyl ether 3-galactosyl- (1->2) - [ rhamnosyl- (1->6) -glucoside ]"
1761,-6.9,individual_ligand_1761,Candidone
1774,-6.9,individual_ligand_1774,Cardamonin
1850,-6.9,individual_ligand_1850,"Chrysoeriol 7- (3""-Z-p-coumaroylglucoside)"
1882,-6.9,individual_ligand_1882,Cladrin 7-O-laminaribioside
1070,-6.8,individual_ligand_1070,"6,7-Dihydroxy-5-methoxyflavanone 7-O-glucoside"
1080,-6.8,individual_ligand_1080,"6,8-Di-C-arabinopyranosyltricin"
1104,-6.8,individual_ligand_1104,"6"",6""-Dimethyl-3',4'-methylenedioxypyrano [ 2"",3"":7,8 ] flavone"
1136,-6.8,individual_ligand_1136,"7-Hydroxy-5,6,8,4'-tetramethoxyflavone"
1142,-6.8,individual_ligand_1142,7-Hydroxy-8-methoxyflavanone
114,-6.8,individual_ligand_114,"2,3-Dehydrokievitone"
1151,-6.8,individual_ligand_1151,7-Methoxyflavanone
1182,-6.8,individual_ligand_1182,"7,2',4'-Trimethoxyflavone"
125,-6.8,individual_ligand_125,"2,4'-Dihydroxy-4-methoxydihydrochalcone"
132,-6.8,individual_ligand_132,"2,8-Dihydroxy-3,9-dimethoxypterocarpan"
1356,-6.8,individual_ligand_1356,Adunctin B
135,-6.8,individual_ligand_135,2'-Deoxypiscerythrone
1364,-6.8,individual_ligand_1364,Afzelechin
1386,-6.8,individual_ligand_1386,Agehoustin E
1396,-6.8,individual_ligand_1396,Albanin A
1401,-6.8,individual_ligand_1401,Aliarin
1461,-6.8,individual_ligand_1461,"Anhydropisatin, Flemichapparin B, 6a,11a-Dehydropterocarpin"
1465,-6.8,individual_ligand_1465,Anthyllisone
146,-6.8,individual_ligand_146,2'-Hydroxy-4'-methoxy-3-phenylpropiophenone
148,-6.8,individual_ligand_148,"2'-Hydroxy-4',6'-dimethoxy-3'-methyldihydrochalcone"
1552,-6.8,individual_ligand_1552,"Apometzgerin, Tricetin 3',4'-dimethyl ether"
1605,-6.8,individual_ligand_1605,Artonin L
1610,-6.8,individual_ligand_1610,Artonin T
1641,-6.8,individual_ligand_1641,"Baohuoside 1, Icariside II"
1670,-6.8,individual_ligand_1670,Bidenoside B
1713,-6.8,individual_ligand_1713,Bryacarpene 3
172,-6.8,individual_ligand_172,"2',3'-Dimethoxy Flavone, 2',3'-Dimethoxyflavone"
1732,-6.8,individual_ligand_1732,Calofloride
1772,-6.8,individual_ligand_1772,Carajurin
1795,-6.8,individual_ligand_1795,"Catechin 5,4'-di-O-beta-D-glucopyranoside"
1800,-6.8,individual_ligand_1800,Catechin-3'-methyl ether
1859,-6.8,individual_ligand_1859,Chrysosplenol F
1872,-6.8,individual_ligand_1872,"cis-3-Hydroxy-5,7-dimethoxyflavanone"
103,-6.7,individual_ligand_103,2-Methoxyhomopterocarpin
1147,-6.7,individual_ligand_1147,"7-HYDROXYFLAVONE, NSC-94258"
1157,-6.7,individual_ligand_1157,7-O-Methyleriodictyol 3'-O-glucoside
1184,-6.7,individual_ligand_1184,"7,2',4',5'-Tetramethoxyisoflavone"
1191,-6.7,individual_ligand_1191,"7,3'-Dihydroxy-5,4'-dimethoxy-5'-prenylisoflavone"
1193,-6.7,individual_ligand_1193,"7,3'-Dihydroxy-5,4'-dimethoxyflavone"
1271,-6.7,individual_ligand_1271,8-Hydroxygalangin 3-methyl ether 8-angelate
1273,-6.7,individual_ligand_1273,8-Hydroxygalangin 7-methyl ether 8-acetate
1274,-6.7,individual_ligand_1274,8-Hydroxygalangin 7-methyl ether 8-butyrate
1299,-6.7,individual_ligand_1299,8-Prenylluteone
1347,-6.7,individual_ligand_1347,"Acacetin 7-rhamnosyl- (1->6) [ 2""-acetylglucosyl- (1->2) glucoside ]"
1362,-6.7,individual_ligand_1362,"Afrormosin 7-O- (6""-malonylglucoside)"
1363,-6.7,individual_ligand_1363,Afrormosin 7-O-laminaribioside
1478,-6.7,individual_ligand_1478,Apigenin 4'-glucuronide
1494,-6.7,individual_ligand_1494,"Apigenin 7- (3"",4""-diacetylglucoside)"
1505,-6.7,individual_ligand_1505,"Apigenin 7- (6""-malonylneohesperidoside)"
157,-6.7,individual_ligand_157,"2'-Hydroxydaidzein 7,4'-di-O-glucoside"
1586,-6.7,individual_ligand_1586,Arthromerin B
1589,-6.7,individual_ligand_1589,Artocarpetin B
1616,-6.7,individual_ligand_1616,Asebotin
1624,-6.7,individual_ligand_1624,Aurentiacin
1635,-6.7,individual_ligand_1635,Baicalein 6-glucuronide
1648,-6.7,individual_ligand_1648,Bartericin B
1676,-6.7,individual_ligand_1676,"Bis (6"",6""-dimethyl-4"",5""-dihydropyrano) [ 2"",3"":4',5' ] [ 2"",3"":4,3 ] -2'-hydroxychalcone"
1725,-6.7,individual_ligand_1725,Cajaisoflavone
174,-6.7,individual_ligand_174,"2',4'-Dihydroxy Flavone"
1790,-6.7,individual_ligand_1790,"Catechin 3',4'-di-O-beta-D-glucopyranoside"
1813,-6.7,individual_ligand_1813,Cerasin
1846,-6.7,individual_ligand_1846,"Chrysoeriol 5-methyl ether, Luteolin 5,3'-dimethyl ether"
1870,-6.7,individual_ligand_1870,Cirsimaritin
101,-6.6,individual_ligand_101,2-Hydroxypseudobaptigenin
1081,-6.6,individual_ligand_1081,"6,8-Di-C-galactopyranosylapigenin"
1107,-6.6,individual_ligand_1107,"6"",6""-Dimethylpyrano [ 2"",3"":6',5' ] -2'-hydroxy-4,4'-dimethoxychalcone"
110,-6.6,individual_ligand_110,"2,2'-Dihydroxy-3,4,5,6'-tetramethoxy-3',4'-methylenedioxychalcone"
1158,-6.6,individual_ligand_1158,7-O-Methylisolupalbigenin
1167,-6.6,individual_ligand_1167,"7-Prenyloxy-3',4'-dimethoxyisoflavone"
1213,-6.6,individual_ligand_1213,"7,4'-Dihydroxyflavone"
1233,-6.6,individual_ligand_1233,"8-C-beta-D-Xylopyranosylchrysoeriol 4'-O-acetyl 2""-O-glucoside"
1260,-6.6,individual_ligand_1260,"8-Hydroxy-5,6,7-trimethoxyflavone"
1272,-6.6,individual_ligand_1272,8-Hydroxygalangin 3-methyl ether 8-methylbutyrate
1297,-6.6,individual_ligand_1297,8-Prenyllepidissipyrone
1361,-6.6,individual_ligand_1361,Aervanone
1366,-6.6,individual_ligand_1366,Afzelechin 3-O-alpha-L-rhamnopyranoside
1369,-6.6,individual_ligand_1369,Afzelechin 7-O-beta-D-apiofuranoside
136,-6.6,individual_ligand_136,"2'-Hydroxy Flavone, 2'-Hydroxyflavone"
137,-6.6,individual_ligand_137,"2'-Hydroxy-2,3,4',6'-tetramethoxychalcone"
1380,-6.6,individual_ligand_1380,Agecorynin F
1400,-6.6,individual_ligand_1400,Alhagitin
1412,-6.6,individual_ligand_1412,Alpinone
1417,-6.6,individual_ligand_1417,Alysifolinone
141,-6.6,individual_ligand_141,"2'-Hydroxy-3,5,7,4',5'-pentamethoxyflavone"
1504,-6.6,individual_ligand_1504,"Apigenin 7- (6""-malonylglucoside)"
1506,-6.6,individual_ligand_1506,"Apigenin 7- (6""-methylglucuronide)"
150,-6.6,individual_ligand_150,"2'-Hydroxy-5',6'-dimethoxy-3,4-methylenedioxyfurano [ 2"",3"":4',3' ] dihydrochalcone"
1604,-6.6,individual_ligand_1604,Artonin K
1611,-6.6,individual_ligand_1611,Artonin U
1617,-6.6,individual_ligand_1617,Asiaticalin
1675,-6.6,individual_ligand_1675,"Biondnoid A, Buddlenoid A, Kaempferol 7- (6""-p-coumarylglucoside)"
1705,-6.6,individual_ligand_1705,Broussoflavan A
1712,-6.6,individual_ligand_1712,Bryacarpene 2
1755,-6.6,individual_ligand_1755,Camaroside
175,-6.6,individual_ligand_175,"2',4'-Dihydroxy-2,3',6'-trimethoxychalcone"
1805,-6.6,individual_ligand_1805,Cedrediprenone
1011,-6.5,individual_ligand_1011,"6-Hydroxyluteolin 3'-methyl ether 6,7-disulfate"
1090,-6.5,individual_ligand_1090,"6,8-Di-C-methylmyricetin 4'-methyl ether"
1114,-6.5,individual_ligand_1114,"6a,7-Dihydroxymaackiain"
1127,-6.5,individual_ligand_1127,"7-Hydroxy-3',4'-methylenedioxyflavan"
1154,-6.5,individual_ligand_1154,"7-Methylsudachitin, 8-Methoxycirsilineol, 5,4'-Dihidroxy-6,7,8,3'-tetramethoxyflavone"
1166,-6.5,individual_ligand_1166,7-Prenyloxy-3'-hydroxy-4'-methoxyisoflavone
1365,-6.5,individual_ligand_1365,"Afzelechin (4alpha-8) peralgonidin 3-O-beta-glucopyranoside, 2- (4-Hydroxyphenyl) -3- (beta-D-glucopyranosyloxy) -5,7-dihydroxy-8- [ [ (2R) -2alpha- (4-hydroxyphenyl) -3beta,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran] -4alpha-yl] -1-benzopyrylium"
1397,-6.5,individual_ligand_1397,Albanin E
140,-6.5,individual_ligand_140,"2'-Hydroxy-3,4,5,4',6'-pentamethoxychalcone"
1435,-6.5,individual_ligand_1435,Amorphigenol
1507,-6.5,individual_ligand_1507,"Apigenin 7- (6""-p-coumarylglucoside)"
154,-6.5,individual_ligand_154,"2'-Hydroxy-7,3',4'-trimethoxyisoflavone"
1595,-6.5,individual_ligand_1595,Artoindonesianin B
1599,-6.5,individual_ligand_1599,Artoindonesianin S
1600,-6.5,individual_ligand_1600,Artoindonesianin T
1601,-6.5,individual_ligand_1601,Artomunoxanthone
1603,-6.5,individual_ligand_1603,Artonin J
1612,-6.5,individual_ligand_1612,Artonol C
1699,-6.5,individual_ligand_1699,Brosimone G
1700,-6.5,individual_ligand_1700,Brosimone H
1704,-6.5,individual_ligand_1704,Broussochalcone B
1709,-6.5,individual_ligand_1709,Broussonol A
1711,-6.5,individual_ligand_1711,Bryacarpene 1
1767,-6.5,individual_ligand_1767,"Caohuoside C, 8-Prenylquercetin 4'-methyl ether 3-rhamnoside"
1797,-6.5,individual_ligand_1797,"Catechin 5,7,4'-trimethyl ether"
1831,-6.5,individual_ligand_1831,"Chandanin, Lonchocarpic acid"
1102,-6.4,individual_ligand_1102,"6""-O-Acetylastragalin, Kaempferol 3- (6""-acetylglucoside)"
1162,-6.4,individual_ligand_1162,7-O-Methyltectorigenin 4'-O-gentiobioside
1163,-6.4,individual_ligand_1163,7-O-Methyltectorigenin 4'-O-glucoside
1171,-6.4,individual_ligand_1171,"7,2'-Dihydroxy-4'-methoxy-3-phenylcoumarin"
1176,-6.4,individual_ligand_1176,"7,2'-Dihydroxy-6,4'-dimethoxyisoflavone"
1177,-6.4,individual_ligand_1177,"7,2'-Dihydroxy-6,8-dimethyl-4',5'-methylenedioxyflavan"
1231,-6.4,individual_ligand_1231,"8-C-beta-D-Glucopyranosyldiosmetin, 8-beta-D-Glucopyranosyl-5,7,3'-trihydroxy-4'-methoxyflavone"
1280,-6.4,individual_ligand_1280,8-Hydroxyluteolin 4'-methyl ether 7-allosyl- (1->2) -glucoside
1291,-6.4,individual_ligand_1291,8-O-Methylretusin 7-O-laminaribioside
1300,-6.4,individual_ligand_1300,"8-Prenylquercetin 7,4'-dimethyl ether 3-rhamnosyl- (1->4) -rhamnoside"
1305,-6.4,individual_ligand_1305,"8,3'-Dihydroxy-5,7,4'-trimethoxyflavone"
1383,-6.4,individual_ligand_1383,Agehoustin B
138,-6.4,individual_ligand_138,"2'-Hydroxy-2,4',6'-trimethoxychalcone"
139,-6.4,individual_ligand_139,"2'-Hydroxy-3,4,4',6'-tetramethoxychalcone"
1409,-6.4,individual_ligand_1409,"alpha,4,2'-Trihydroxy-4-O-geranyldihydrochalcone"
1411,-6.4,individual_ligand_1411,"Alpinetin, 5-O-Methylpinocembrin, 5-Methoxy-7-hydroxyflavanone, 7-Hydroxy-5-methoxyflavanone"
1508,-6.4,individual_ligand_1508,"Apigenin 7- (6""'-acetylallosyl- (1->2) glucoside)"
1594,-6.4,individual_ligand_1594,Artoindonesianin A
1596,-6.4,individual_ligand_1596,"Artoindonesianin P, O-Demethylartonin K, O,O'-Didemethylartonin L"
1598,-6.4,individual_ligand_1598,Artoindonesianin R
159,-6.4,individual_ligand_159,"2'-Hydroxyfurano [ 2"",3"":4',3' ] chalcone"
1614,-6.4,individual_ligand_1614,Arvensan
1625,-6.4,individual_ligand_1625,Aurentiacin A
162,-6.4,individual_ligand_162,2'-Hydroxymatteucinol
1674,-6.4,individual_ligand_1674,"Biochanin B, Formononetin, Formononetol, Daidzein 4'-methyl ether, 7-Hydroxy-4'-methoxyisoflavone"
1692,-6.4,individual_ligand_1692,Brosimacutin C
1710,-6.4,individual_ligand_1710,Broussonol B
1715,-6.4,individual_ligand_1715,Bryacarpene 5
1812,-6.4,individual_ligand_1812,Cerasidin
1817,-6.4,individual_ligand_1817,Cerosilin B
1852,-6.4,individual_ligand_1852,Chrysoeriol 7-alpha-L-arabinofuranosyl- (1->6) -glucoside
1853,-6.4,individual_ligand_1853,Chrysoeriol 7-apiosyl- (1->6) -glucoside
1871,-6.4,individual_ligand_1871,"cis-12a-Hydroxyrot-2'-enonic acid, (6aR,12aR) -6a,12a-Dihydro-9,12a-dihydroxy-2,3-dimethoxy-8- (3-methyl-2-butenyl) - [1] benzopyrano [3,4-b] [1] benzopyran-12 (6H) -one"
18,-6.4,individual_ligand_18,(-) -Sparticarpin
115,-6.3,individual_ligand_115,"2,3-Dehydrokievitone hydrate"
1169,-6.3,individual_ligand_1169,"7-Prenyloxy-8-methoxy-3',4'-methylenedioxyisoflavone"
1402,-6.3,individual_ligand_1402,Aliarin 4'-methyl ether
1597,-6.3,individual_ligand_1597,Artoindonesianin Q
1606,-6.3,individual_ligand_1606,Artonin M
1661,-6.3,individual_ligand_1661,"beta-Hydroxy-2,3,4,5,2',4',5'-heptamethoxychalcone"
1735,-6.3,individual_ligand_1735,Calomelanol C
1810,-6.3,individual_ligand_1810,"Cerarvensin 2""-O-rhamnoside"
111,-6.2,individual_ligand_111,"2,2'-Dihydroxychalcone"
112,-6.2,individual_ligand_112,"2,2',4'-Trihydroxy-6'-methoxychalcone"
1382,-6.2,individual_ligand_1382,Agehoustin A
1391,-6.2,individual_ligand_1391,Agestricin C
1398,-6.2,individual_ligand_1398,Alfalone
1410,-6.2,individual_ligand_1410,"alpha,beta-Dihydroxanthohumol"
1448,-6.2,individual_ligand_1448,Angoluvarin
1649,-6.2,individual_ligand_1649,Bartericin C
1447,-6.1,individual_ligand_1447,Angoletin
1324,-6,individual_ligand_1324,Abyssinone II
