ligand,affinity,ligand,
1423,-8.4,individual_ligand_1423,Ambonane
1427,-8.4,individual_ligand_1427,Amoradinin
1428,-8.4,individual_ligand_1428,Amoricin
1498,-8.4,individual_ligand_1498,"Apigenin 7- (4"",6""-di-p-coumarylglucoside)"
1512,-8.4,individual_ligand_1512,"Apigenin 7-apiofuranosyl- (1->6) -glucoside, 5,7,4'-Trihydroxyflavone 7-apiofuranosyl- (1->6) -glucoside"
1539,-8.4,individual_ligand_1539,Apigenin 7-sulfate
1540,-8.4,individual_ligand_1540,Apigenin 7-xyloside
1578,-8.4,individual_ligand_1578,Artelasticin
1591,-8.4,individual_ligand_1591,Artocommunol CA
1637,-8.4,individual_ligand_1637,Baicalein 6-methyl ether 7-glucosyl- (1->3) -rhamnoside
1688,-8.4,individual_ligand_1688,"Bracteoside, Kaempferol 3-methyl ether 7-glucuronide"
1689,-8.4,individual_ligand_1689,Brevicornin
1837,-8.4,individual_ligand_1837,Chrysin 6-C-beta-D-glucopyranoside
1866,-8.4,individual_ligand_1866,Chrysosplin
1884,-8.4,individual_ligand_1884,"Clematin, Clematine"
1031,-8.3,individual_ligand_1031,"6-Hydroxytricetin 6,7,3',5'-tetramethyl eter 5-rhamnoside"
1037,-8.3,individual_ligand_1037,"6-Methoxykaempferol 3- (6""-acetylglucoside)"
104,-8.3,individual_ligand_104,2-Methoxymedicarpin
1050,-8.3,individual_ligand_1050,"6-Methoxyluteolin 3',4'-disulfate"
1054,-8.3,individual_ligand_1054,"6-Methylapigenin, 5,7,4'-Trihydroxy-6-methylflavone"
1055,-8.3,individual_ligand_1055,"6-Prenylapigenin, 6-C-Prenylapigenin, 5,7,4'-Trihydroxy-6-prenylflavone"
10,-8.3,individual_ligand_10,(-) -Isoscoparin
1117,-8.3,individual_ligand_1117,"7-Geranylformononetin, 4'-Methoxy-7-geranyloxyisoflavone"
1143,-8.3,individual_ligand_1143,"7-Hydroxy-8,3',4'-trimethoxyisoflavone"
117,-8.3,individual_ligand_117,"2,3-Dihydroauriculatin"
1194,-8.3,individual_ligand_1194,"7,3'-DIMETHOXYFLAVONE, 7,3'-Dimethoxy Flavone"
11,-8.3,individual_ligand_11,(-) -Medicarpin
1204,-8.3,individual_ligand_1204,"7,4'-Dihydroxy-3'-methoxyflavan"
1210,-8.3,individual_ligand_1210,"7,4'-Dihydroxy-8-methylflavan"
1217,-8.3,individual_ligand_1217,"7,5',4'-Trimethoxyflavone 7-xylosyl- (1->6) -glucoside"
1226,-8.3,individual_ligand_1226,"7,8,3',4',5'-Pentamethoxyflavone"
1239,-8.3,individual_ligand_1239,"8-C-Methyl-6-hydroxykaempferol 3,6,7-trimethyl ether"
123,-8.3,individual_ligand_123,"2,4,2',4'-Tetrahydroxychalcone"
1281,-8.3,individual_ligand_1281,8-Hydroxyluteolin 4'-methyl ether 8-glucoside
1295,-8.3,individual_ligand_1295,"8-Prenylkaempferol 4'-methyl ether 3- [ 4""'-,6""'-diacetylglucosyl- (1->3) -4""-acetylrhamnoside ]"
1314,-8.3,individual_ligand_1314,"Abietin, Vitexin 6""-O-rhamnoside"
1340,-8.3,individual_ligand_1340,Acacetin 7-glucuronosyl- (1->2) -glucuronide
1342,-8.3,individual_ligand_1342,"Acacetin 7-O- [ 2""'-O-rhamnosyl-2""-O-glucosylglucoside"
1376,-8.3,individual_ligand_1376,Agecorynin B
1384,-8.3,individual_ligand_1384,Agehoustin C
1388,-8.3,individual_ligand_1388,Agehoustin G
1392,-8.3,individual_ligand_1392,Agestricin D
1441,-8.3,individual_ligand_1441,Amurensin
1444,-8.3,individual_ligand_1444,Andrographidin A
1453,-8.3,individual_ligand_1453,Angustone B
1524,-8.3,individual_ligand_1524,Apigenin 7-methyl ether 4'-glucoside
1530,-8.3,individual_ligand_1530,Apigenin 7-O- (2G-rhamnosyl) gentiobioside
1549,-8.3,individual_ligand_1549,Apiin
1554,-8.3,individual_ligand_1554,Apuleirin
1581,-8.3,individual_ligand_1581,Artelastochromene
1582,-8.3,individual_ligand_1582,Artelastofuran
15,-8.3,individual_ligand_15,(-) -Phaseollinisoflavan
1609,-8.3,individual_ligand_1609,Artonin S
1619,-8.3,individual_ligand_1619,"Astrasikokioside I, Desacyl gladiatoside B, Kaempferol 3-rhamnosyl- (1->6) - [ rhamnosyl- (1->2) -galactoside ] -7-rhamnoside"
1687,-8.3,individual_ligand_1687,"Bonanzin, Quercetagetin 3,6,3',4'-tetramethyl ether, 5,7-Dihydroxy-3,6,3',4'-tetramethoxyflavone"
1733,-8.3,individual_ligand_1733,Calomelanol A
1775,-8.3,individual_ligand_1775,"Carpachromene, 5,4'-Dihidroxy-6"",6""-dimethylpyrano [ 2"",3"":7,6 ] flavone"
1793,-8.3,individual_ligand_1793,Catechin 5-O-beta-D-glucopyranoside-4'-Me
1821,-8.3,individual_ligand_1821,Chalconaringenin 2'-rhamnosyl- (1->4) -glucoside
1828,-8.3,individual_ligand_1828,Chamanetin
1877,-8.3,individual_ligand_1877,Cladrastin
1000,-8.2,individual_ligand_1000,"6-Hydroxy-7,2'-dimethoxy-4',5'-methylenedioxyisoflavone"
100,-8.2,individual_ligand_100,2-Hydroxyhomopterocarpin
1025,-8.2,individual_ligand_1025,"6-Hydroxyluteolin 7,3'-dimethyl ether 6-glucoside"
1036,-8.2,individual_ligand_1036,6-Methoxyhomopterocarpin
1044,-8.2,individual_ligand_1044,6-Methoxykaempferol 3-robinobioside
1049,-8.2,individual_ligand_1049,"6-Methoxykaempferol, 3,5,7,4'-Tetrahydroxy-6-methoxyflavone"
1068,-8.2,individual_ligand_1068,"6,5'-Dihydroxy-3,5,7,2',4'-pentamethoxyflavone"
1121,-8.2,individual_ligand_1121,"7-Hydroxy-3,5,4'-trimethoxyflavanone"
1195,-8.2,individual_ligand_1195,"7,3'-Dimethylorobol"
119,-8.2,individual_ligand_119,"2,3,4,5,2',3',4',6'-Octamethoxychalcone"
1207,-8.2,individual_ligand_1207,"7,4'-Dihydroxy-5-methoxyflavanone 7-neohesperidoside-4'-glucoside"
1262,-8.2,individual_ligand_1262,"8-Hydroxy-5,7-dimethoxyflavanone"
1263,-8.2,individual_ligand_1263,"8-Hydroxy-5,7,3',4'-tetramethoxy-4-phenylcoumarin"
1267,-8.2,individual_ligand_1267,"8-Hydroxyapigenin 8- (2"",4""-disulfatoglucuronide)"
1296,-8.2,individual_ligand_1296,8-Prenylkaempferol 4'-methyl ether 3-rhamnosyl- (1->6) -galactoside-7-galactoside
1308,-8.2,individual_ligand_1308,"8,4'-Dihydroxyisoflavone"
1309,-8.2,individual_ligand_1309,"9-Methoxy-7-phenyl-5H-furo [ 3,2-g ] [ 1 ] benzopyran-5-one"
1322,-8.2,individual_ligand_1322,Abyssinoflavanone VI
1370,-8.2,individual_ligand_1370,Afzelin
1430,-8.2,individual_ligand_1430,Amorin
1499,-8.2,individual_ligand_1499,"Apigenin 7- (4"",6""-diacetylalloside) -4'-alloside"
1503,-8.2,individual_ligand_1503,"Apigenin 7- (6""-ethylglucuronide)"
1513,-8.2,individual_ligand_1513,"Apigenin 7-cellobioside-4'-glucoside, 5,7,4'-Trihydroxyflavone 7-cellobioside-4'-glucoside"
1547,-8.2,individual_ligand_1547,"Apigeninidin 5,7-diglucoside"
1566,-8.2,individual_ligand_1566,Aromadendrin 4'-xyloside
1569,-8.2,individual_ligand_1569,"Aromadendrin 6-C-glucoside, 6-C-Glucopyranosyldihydrokaempferol"
1583,-8.2,individual_ligand_1583,Artemetin 5-glucosyl- (1->4) -rhamnoside
1621,-8.2,individual_ligand_1621,Atalantoflavone
1664,-8.2,individual_ligand_1664,Betavulgarin
1665,-8.2,individual_ligand_1665,Betuletol 3-galactoside
1667,-8.2,individual_ligand_1667,"Betuletol, 6,4'-Dimethoxy-3,5,7-trihydroxyflavone"
1792,-8.2,individual_ligand_1792,Catechin 4'-O-beta-D-glucopyranoside
1818,-8.2,individual_ligand_1818,"Cerrosillin, 5,6,3',5'-tetramethoxyflavone"
1868,-8.2,individual_ligand_1868,Ciliatin B
1005,-8.1,individual_ligand_1005,"6-Hydroxykaempferol 3,5,7,4'-tetramethyl ether 6-rhamnoside"
1015,-8.1,individual_ligand_1015,6-Hydroxyluteolin 6-glucoside-3'-rhamnoside
1047,-8.1,individual_ligand_1047,6-Methoxykaempferol 4'-rhamnoside
1060,-8.1,individual_ligand_1060,"6,2',3'-Trimethoxyflavone"
1095,-8.1,individual_ligand_1095,"6,8-Diprenylpratensein"
1113,-8.1,individual_ligand_1113,6a-Hydroxymedicarpin
1229,-8.1,individual_ligand_1229,"8-C-beta-D-Glucofuranosylapigenin 2""-O-acetate"
1232,-8.1,individual_ligand_1232,"8-C-beta-D-Glucopyranosylkaempferol, 8-beta-D-Glucopyranosyl-3,5,7,4'-tetrahydroxyflavone"
1251,-8.1,individual_ligand_1251,"8-C-xylopyranosylchrysoeriol 2""-O-glucoside"
1265,-8.1,individual_ligand_1265,8-Hydroxyapigenin 7-sophoroside
130,-8.1,individual_ligand_130,"2,6,3'-Trihydroxy-4'-methoxy-2-benzylcoumaranone"
1310,-8.1,individual_ligand_1310,"9-O-Methylcoumestrol, 4'-O-Methylcoumestrol"
1311,-8.1,individual_ligand_1311,9-O-Methylglyceofuran
1315,-8.1,individual_ligand_1315,Abrectorin
1375,-8.1,individual_ligand_1375,Agecorynin A
1405,-8.1,individual_ligand_1405,"Alnusin, 6-Methoxygalangin, 3,5,7-Trihydroxy-6-methoxyflavone"
1416,-8.1,individual_ligand_1416,"ALVOCIDIB, FLAVOPIRIDOL, Flavopiridol, HL 275, HMR 1275, L 86 8275, L-868275, MDL-107826A, NSC-649890"
1443,-8.1,individual_ligand_1443,Androechin
1458,-8.1,individual_ligand_1458,Anhydroicaritin 3-galactosyl- (1->3) -rhamnoside-7-glucoside
1515,-8.1,individual_ligand_1515,Apigenin 7-glucoside-4'-p-coumarate
1537,-8.1,individual_ligand_1537,Apigenin 7-rutinoside-4'-glucoside
1543,-8.1,individual_ligand_1543,"Apigenin 7,4'-diglucoside"
1546,-8.1,individual_ligand_1546,Apigenin 8-C- [ xylosyl- (1->2) -galactoside ]
1579,-8.1,individual_ligand_1579,Artelastin
165,-8.1,individual_ligand_165,2'-Methoxybiochanin A
1672,-8.1,individual_ligand_1672,"Biochanin A 7-O-glucoside-6""-malonate"
1681,-8.1,individual_ligand_1681,Boesenbergin A
1706,-8.1,individual_ligand_1706,Broussoflavonol D
1716,-8.1,individual_ligand_1716,"Bucegin, Galangustin"
1739,-8.1,individual_ligand_1739,Calomelanol H
1765,-8.1,individual_ligand_1765,"Cannflavin B, Canniflavone, Canniflavone 1, 6-Prenylchrysoeriol"
1780,-8.1,individual_ligand_1780,"Cassiaoccidentalin C, 6-C- (6-Deoxy-ribo-hexos-3-ulosyl) diomestin 2""-O-rhamnoside"
1848,-8.1,individual_ligand_1848,Chrysoeriol 6-C-glucoside-8-C-arabinopyranoside
1854,-8.1,individual_ligand_1854,Chrysoeriol 7-neohesperidoside
1021,-8,individual_ligand_1021,"6-Hydroxyluteolin 6,4'-dimethyl ether 7-glucoside"
1026,-8,individual_ligand_1026,"6-Hydroxymyricetin 3,6,3',5'-tetramethyl ether 7-glucoside"
1039,-8,individual_ligand_1039,6-Methoxykaempferol 3-glucuronide
1074,-8,individual_ligand_1074,"6,7,2',3',4'-Pentamethoxyisoflavone"
1088,-8,individual_ligand_1088,"6,8-Di-C-methylkaempferol 7-methyl ether"
1135,-8,individual_ligand_1135,"7-Hydroxy-5,6,8,3'-tetramethoxy-4',5'-methylenedioxyflavone"
1148,-8,individual_ligand_1148,7-Methoxy-2-methylisoflavone
1192,-8,individual_ligand_1192,"7,3'-Dihydroxy-5,4'-dimethoxy-6-formyl-4-phenylcoumarin"
1218,-8,individual_ligand_1218,"7,8- (2,2-Dimethylpyrano) -3,4'-dihydroxy-5-methoxyflavan"
1220,-8,individual_ligand_1220,"7,8-Dimethoxy-3',4'-methylenedioxyflavone"
1261,-8,individual_ligand_1261,"8-Hydroxy-5,6,7,3',4',5'-hexamethoxyflavone"
127,-8,individual_ligand_127,"2,5-Dihydroxy-7-methoxy-6-methylflavanone"
1283,-8,individual_ligand_1283,8-Hydroxyluteolin 4'-methyl ether 8-glucuronide
1284,-8,individual_ligand_1284,8-Hydroxyluteolin 8-glucoside-3'-sulfate
1301,-8,individual_ligand_1301,8-trans- [ 2- (6-Benzoyloxy-4-hydroxy-2-methoxy-3-methylphenyl) ethenyl ] -5-methoxyflavan-7-ol
1321,-8,individual_ligand_1321,Abyssinoflavanone V
1339,-8,individual_ligand_1339,Acacetin 7-glucuronide
1403,-8,individual_ligand_1403,Almeidein
1421,-8,individual_ligand_1421,Ambofuracin
1445,-8,individual_ligand_1445,"Andrographin, 2'-O-Methylskullcapflavone I, Skullcapflavone I 2'-methyl ether, 5-Hydroxy-2',7,8-trimethoxyflavone"
1457,-8,individual_ligand_1457,"Anhydroicaritin 3- (6""'-acetylgalactosyl) (1->3) -rhamnoside-7-glucoside"
1468,-8,individual_ligand_1468,Antiarone E
1480,-8,individual_ligand_1480,Apigenin 5-galactoside
1510,-8,individual_ligand_1510,Apigenin 7-alpha-L-arabinofuranosyl- (1->6) -glucoside
1517,-8,individual_ligand_1517,Apigenin 7-glucuronide
1558,-8,individual_ligand_1558,Arjunone
1559,-8,individual_ligand_1559,Aromadendrin 3-acetate
